module,old_version,new_version,old_url,new_url,jaccard,confirmed
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-empfindlichkeit-einheiten-ucum,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-empfindlichkeit-einheiten-ucum,0.667,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-keimzahl-einheiten-ucum,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-keimzahl-einheiten-ucum,0.5,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-antigen-assay-einheiten-ucum,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-antigen-antikoerper-quantitativ-einheiten-ucum,0.286,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-aviditaet-snomedct,,0.0,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-barlett-score-loinc,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-bartlett-score-loinc,1.0,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-clsi-hl7,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-susceptibility,0.833,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-eucast-snomedct,,0.125,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-kultur-methode-snomedct,,0.0,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-mikroskopiemethoden-snomedct,,0.111,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-morphologie-snomedct,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-morphologie-ergebnis-snomed,0.276,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-mre-klasse-snomedct,,0.0,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-positiv-negativ-snomedct,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-resistenzkategorie-status-ergebnis,0.5,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-qualitative-labor-ergebnisse-snomedct,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-detected-not-detected-snomed,0.667,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-resistenzgene-loinc,,0.0,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-resistenzmutation-loinc,,0.0,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-serologie-immunologie-loinc,,0.0,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-serologischer-test-einheiten-ucum,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-empfindlichkeit-einheiten-ucum,0.273,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-voraussichtliche-empfindlichkeit-snomedct,,0.0,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-molekulare-diagnostik-einheiten-ucum,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-molekulare-diagnostik-einheiten-ucum,0.714,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobiologie/ValueSet/mii-vs-mikrobio-kulturtests-loinc,,0.0,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobiologie/ValueSet/mii-vs-mikrobio-mikroskopie-tests-loinc,,0.009,
mikrobiologie,2025.0.2,2027.0.0-ballot2,https://www.medizininformatik-initiative.de/fhir/modul-mikrobiologie/ValueSet/mii-vs-mikrobio-molekulare-diagnostik-loinc,,0.0,
onkologie,2026.0.3,2027.0.0-ballot.1,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-strahlentherapie-ende-grund,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-strahlentherapie-ende-grund,1.0,
onkologie,2026.0.3,2027.0.0-ballot.1,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-strahlentherapie-stellungzurop,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-strahlentherapie-stellungzurop,1.0,
onkologie,2026.0.3,2027.0.0-ballot.1,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-strahlentherapie-strahlenart,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-strahlentherapie-strahlenart,1.0,
onkologie,2026.0.3,2027.0.0-ballot.1,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-strahlentherapie-strahlungseinheit,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-strahlentherapie-strahlungseinheit,1.0,
onkologie,2026.0.3,2027.0.0-ballot.1,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-strahlentherapie-zielgebiet,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-strahlentherapie-zielgebiet,1.0,
onkologie,2026.0.3,2027.0.0-ballot.1,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-systemische-therapie-ende-grund,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-systemische-therapie-ende-grund,1.0,
onkologie,2026.0.3,2027.0.0-ballot.1,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-systemische-therapie-stellungzurop,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-systemische-therapie-stellungzurop,1.0,
seltene,2026.0.1,2027.0.0-ballot,https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/von-seltene-betroffen-vs,https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-von-se-betroffen,1.0,
