module,last_version,old_name,old_url,evidence,target_module,target_name,target_url,jaccard,name_similarity,score,confirmed
icu,2025.0.4,SD_MII_ICU_Dauer_Haemodialysesitzung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/dauer-haemodialysesitzung,similar,kardiologie,MII_PR_Kardio_Score_Modifizierte_Rankin_Skala,https://www.medizininformatik-initiative.de/fhir/ext/modul-kardio/StructureDefinition/mii-pr-kardio-score-modifizierte-rankin-skala,0.429,0.308,0.38,
icu,2025.0.4,SD_MII_ICU_Substituatvolumen,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/substituatvolumen,similar,kardiologie,MII_PR_Kardio_Score_NYHA,https://www.medizininformatik-initiative.de/fhir/ext/modul-kardio/StructureDefinition/mii-pr-kardio-score-nyha,0.429,0.308,0.38,
mikrobiologie,0.0.2,MII_PR_Mikrobio_Resistenzgene,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/StructureDefinition/resistenzgene,similar,laborbefund,MII_PR_Labor_Laboruntersuchung,https://www.medizininformatik-initiative.de/fhir/core/modul-labor/StructureDefinition/ObservationLab,0.411,0.333,0.38,
mikrobiologie,2025.0.2,MII_PR_Mikrobio_Resistenzmutation,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/StructureDefinition/mii-pr-mikrobio-resistenzmutation,similar,symptom,MII_PR_Symptom_Observation,https://www.medizininformatik-initiative.de/fhir/modul-symptom/StructureDefinition/finding-observation,0.34,0.429,0.375,
icu,2025.0.4,SD_MII_ICU_Haemodialyse_Blutfluss,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/haemodialyse-blutfluss,similar,kardiologie,MII_PR_Kardio_Score_Modifizierte_Rankin_Skala,https://www.medizininformatik-initiative.de/fhir/ext/modul-kardio/StructureDefinition/mii-pr-kardio-score-modifizierte-rankin-skala,0.429,0.286,0.371,
icu,2026.0.2,MII_PR_ICU_Mittlerer_Beatmungsdruck,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-mittlerer-beatmungsdruck,similar,kardiologie,MII_PR_Kardio_Score_Modifizierte_Rankin_Skala,https://www.medizininformatik-initiative.de/fhir/ext/modul-kardio/StructureDefinition/mii-pr-kardio-score-modifizierte-rankin-skala,0.357,0.392,0.371,
mikrobiologie,0.0.2,MII_PR_Mikrobio_Virulenzfaktor,https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/StructureDefinition/virulenzfaktor,similar,laborbefund,MII_PR_Labor_Laboruntersuchung,https://www.medizininformatik-initiative.de/fhir/core/modul-labor/StructureDefinition/ObservationLab,0.446,0.258,0.371,
icu,1.0.0,SD_MII_ICU_Periphere_Artierielle_Sauerstoffsaettigung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/periphere-artierielle-sauerstoffsaettigung,similar,onkologie,MII_PR_Onko_Melanom_Sicherheitsabstand,https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/StructureDefinition/mii-pr-onko-melanom-sicherheitsabstand,0.35,0.4,0.37,
icu,2025.0.4,SD_MII_ICU_Beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/beatmung,similar,lungenfunktion,MII_PR_Lungenfunktion_Spirometrie_Messung,https://www.medizininformatik-initiative.de/fhir/ext/modul-lungenfunktion/StructureDefinition/mii-pr-lungenfunktion-spirometrie-messung,0.308,0.462,0.369,
icu,2025.0.4,SD_MII_ICU_Horowitz_In_Arteriellem_Blut,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/horowitz-in-arteriellem-blut,similar,kardiologie,MII_PR_Kardio_Score_Modifizierte_Rankin_Skala,https://www.medizininformatik-initiative.de/fhir/ext/modul-kardio/StructureDefinition/mii-pr-kardio-score-modifizierte-rankin-skala,0.312,0.453,0.369,
