module,old_version,new_version,resource_type,old_name,new_name,score,jaccard,name_similarity,old_url,new_url,second_best,confirmed
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Inspiratorischer_Gasfluss,MII_PR_ICU_VENT_Inspiratorischer_Gasfluss,0.957,1.0,0.857,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/inspiratorischer-gasfluss,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-inspiratorischer-gasfluss,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-exspiratorischer-gasfluss (0.94),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Ionisiertes_Kalzium_Nierenersatzverfahren,MII_PR_ICU_ECT_Ionisiertes_Kalzium_Nierenersatzverfahren,0.972,1.0,0.907,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/ionisiertes-kalzium-nierenersatzverfahren,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-ect-ionisiertes-kalzium-nierenersatzverfahren,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-ionisiertes-kalzium-nierenersatzverfahren (0.90),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Koerpergewicht,MII_PR_ICU_Koerpergewicht,0.964,1.0,0.88,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpergewicht,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-koerpergewicht,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-muv-koerpergewicht (0.94),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Koerpergroesse,MII_PR_ICU_MUV_Koerpergroesse,0.944,1.0,0.815,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/koerpergroesse,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-muv-koerpergroesse,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-koerpergroesse (0.93),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Kopfumfang,MII_PR_ICU_Kopfumfang,0.957,1.0,0.857,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/kopfumfang,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-kopfumfang,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-muv-kopfumfang (0.93),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Maximaler_Beatmungsdruck,MII_PR_ICU_VENT_Maximaler_Beatmungsdruck,0.956,1.0,0.853,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/maximaler-beatmungsdruck,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-maximaler-beatmungsdruck,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-mittlerer-beatmungsdruck (0.92),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Mechanische_Atemfrequenz_Beatmet,MII_PR_ICU_VENT_Mechanische_Atemfrequenz_Beatmet,0.964,1.0,0.879,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mechanische-atemfrequenz-beatmet,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-mechanische-atemfrequenz-beatmet,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-mechanische-atemfrequenz-beatmet (0.88),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Mittlerer_Beatmungsdruck,MII_PR_ICU_VENT_Mittlerer_Beatmungsdruck,0.956,1.0,0.853,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mittlerer-beatmungsdruck,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-mittlerer-beatmungsdruck,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-maximaler-beatmungsdruck (0.92),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Parameter_Von_Beatmung,MII_PR_ICU_VENT_Parameter_Von_Beatmung,0.954,1.0,0.845,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/parameter-von-beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-parameter-von-beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-parameter-von-beatmung (0.95),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Parameter_Von_Extrakorporalen_Verfahren,MII_PR_ICU_Parameter_Von_Extrakorporalen_Verfahren,0.982,1.0,0.94,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/parameter-von-extrakorporalen-verfahren,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-parameter-von-extrakorporalen-verfahren,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-ect-parameter-von-extrakorporalen-verfahren (0.97),
