package,package_short,profile_url,profile_name,resource_type,compatibility_group,group_category,versions,version_count,is_latest_group,breaking_from_previous
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,MII_PR_Diagnose_Condition,Condition,1,identical,2026.0.0,1,False,
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,MII_PR_Diagnose_Condition,Condition,2,identical,2026.0.1,1,False,False
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,MII_PR_Diagnose_Condition,Condition,3,identical,2027.0.0-ballot,1,True,True
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-fall/StructureDefinition/KontaktGesundheitseinrichtung,MII_PR_Fall_KontaktGesundheitseinrichtung,Encounter,1,identical,2026.0.0,1,False,
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-fall/StructureDefinition/KontaktGesundheitseinrichtung,MII_PR_Fall_KontaktGesundheitseinrichtung,Encounter,2,identical,2026.0.1|2027.0.0-ballot,2,True,False
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/Patient,MII_PR_Person_Patient,Patient,1,identical,2026.0.0,1,False,
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/Patient,MII_PR_Person_Patient,Patient,2,identical,2026.0.1,1,False,False
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/Patient,MII_PR_Person_Patient,Patient,3,identical,2027.0.0-ballot,1,True,False
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/PatientPseudonymisiert,MII_PR_Person_PatientPseudonymisiert,Patient,1,identical,2026.0.0,1,False,
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/PatientPseudonymisiert,MII_PR_Person_PatientPseudonymisiert,Patient,2,identical,2026.0.1,1,False,False
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/PatientPseudonymisiert,MII_PR_Person_PatientPseudonymisiert,Patient,3,identical,2027.0.0-ballot,1,True,False
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/Todesursache,MII_PR_Person_Todesursache,Condition,1,identical,2026.0.0,1,False,
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/Todesursache,MII_PR_Person_Todesursache,Condition,2,identical,2026.0.1|2027.0.0-ballot,2,True,False
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/Vitalstatus,MII_PR_Person_Vitalstatus,Observation,1,identical,2026.0.0,1,False,
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/Vitalstatus,MII_PR_Person_Vitalstatus,Observation,2,identical,2026.0.1|2027.0.0-ballot,2,True,False
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-prozedur/StructureDefinition/Procedure,MII_PR_Prozedur_Procedure,Procedure,1,identical,2026.0.0,1,False,
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-prozedur/StructureDefinition/Procedure,MII_PR_Prozedur_Procedure,Procedure,2,identical,2026.0.1,1,False,False
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-prozedur/StructureDefinition/Procedure,MII_PR_Prozedur_Procedure,Procedure,3,identical,2027.0.0-ballot,1,True,False
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/modul-person/StructureDefinition/AllergieUnvertraeglichkeit,MII_PR_Person_AllergieUnvertraeglichkeit,AllergyIntolerance,1,sole-version,2027.0.0-ballot,1,True,
de.medizininformatikinitiative.kerndatensatz.bildgebung,bildgebung,https://www.medizininformatik-initiative.de/fhir/ext/modul-bildgebung/StructureDefinition/mii-pr-bildgebung-anforderung-bildgebung,MII_PR_Bildgebung_Anforderung_Bildgebung,ServiceRequest,1,identical,2025.0.0|2025.0.1|2025.0.2,3,False,
de.medizininformatikinitiative.kerndatensatz.bildgebung,bildgebung,https://www.medizininformatik-initiative.de/fhir/ext/modul-bildgebung/StructureDefinition/mii-pr-bildgebung-anforderung-bildgebung,MII_PR_Bildgebung_Anforderung_Bildgebung,ServiceRequest,2,canonical-only,2026.0.0|2027.0.0-ballot.1,2,True,True
de.medizininformatikinitiative.kerndatensatz.bildgebung,bildgebung,https://www.medizininformatik-initiative.de/fhir/ext/modul-bildgebung/StructureDefinition/mii-pr-bildgebung-behandlungsempfehlung,MII_PR_Bildgebung_Behandlungsempfehlung,CarePlan,1,identical,2025.0.0|2025.0.1|2025.0.2|2026.0.0|2027.0.0-ballot.1,5,True,
de.medizininformatikinitiative.kerndatensatz.bildgebung,bildgebung,https://www.medizininformatik-initiative.de/fhir/ext/modul-bildgebung/StructureDefinition/mii-pr-bildgebung-bildgebungsprozedur,MII_PR_Bildgebung_Bildgebungsprozedur,Procedure,1,identical,2025.0.0|2025.0.1|2025.0.2,3,False,
de.medizininformatikinitiative.kerndatensatz.bildgebung,bildgebung,https://www.medizininformatik-initiative.de/fhir/ext/modul-bildgebung/StructureDefinition/mii-pr-bildgebung-bildgebungsprozedur,MII_PR_Bildgebung_Bildgebungsprozedur,Procedure,2,identical,2026.0.0,1,False,True
de.medizininformatikinitiative.kerndatensatz.bildgebung,bildgebung,https://www.medizininformatik-initiative.de/fhir/ext/modul-bildgebung/StructureDefinition/mii-pr-bildgebung-bildgebungsprozedur,MII_PR_Bildgebung_Bildgebungsprozedur,Procedure,3,identical,2027.0.0-ballot.1,1,True,True
de.medizininformatikinitiative.kerndatensatz.bildgebung,bildgebung,https://www.medizininformatik-initiative.de/fhir/ext/modul-bildgebung/StructureDefinition/mii-pr-bildgebung-bildgebungsstudie,MII_PR_Bildgebung_Bildgebungsstudie,ImagingStudy,1,identical,2025.0.0,1,False,
de.medizininformatikinitiative.kerndatensatz.bildgebung,bildgebung,https://www.medizininformatik-initiative.de/fhir/ext/modul-bildgebung/StructureDefinition/mii-pr-bildgebung-bildgebungsstudie,MII_PR_Bildgebung_Bildgebungsstudie,ImagingStudy,2,identical,2025.0.1|2025.0.2,2,False,True
de.medizininformatikinitiative.kerndatensatz.bildgebung,bildgebung,https://www.medizininformatik-initiative.de/fhir/ext/modul-bildgebung/StructureDefinition/mii-pr-bildgebung-bildgebungsstudie,MII_PR_Bildgebung_Bildgebungsstudie,ImagingStudy,3,identical,2026.0.0,1,False,True
de.medizininformatikinitiative.kerndatensatz.bildgebung,bildgebung,https://www.medizininformatik-initiative.de/fhir/ext/modul-bildgebung/StructureDefinition/mii-pr-bildgebung-bildgebungsstudie,MII_PR_Bildgebung_Bildgebungsstudie,ImagingStudy,4,identical,2027.0.0-ballot.1,1,True,False
