name,klasse,isik_url,mii_letzte_version,mii_url,struktur_jaccard
MII_PR_ICU_Spontane_Atemfrequenz_Beatmet,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/mii-pr-icu-vent-spontane-atemfrequenz-beatmet,2026.0.2,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-spontane-atemfrequenz-beatmet,1.0
MII_PR_ICU_Spontanes_Atemzugvolumen,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/mii-pr-icu-vent-spontanes-atemzugvolumen,2026.0.2,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-spontanes-atemzugvolumen,1.0
MII_PR_ICU_Unterstuezungsdruck_Beatmung,nach-isik-uebergegangen,https://gematik.de/fhir/isik/StructureDefinition/mii-pr-icu-vent-unterstuezungsdruck-beatmung,2026.0.2,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-unterstuetzungsdruck-beatmung,1.0
MII_PR_ICU_Untersuchung_Pupillenbefund,doppel-governance,https://gematik.de/fhir/isik/StructureDefinition/mii-pr-icu-untersuchung-pupillenbefund,2027.0.0-ballot.3,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-untersuchung-pupillenbefund,0.867
MII_PR_ICU_Untersuchung_Pupillenform,doppel-governance,https://gematik.de/fhir/isik/StructureDefinition/mii-pr-icu-untersuchung-pupillenform,2027.0.0-ballot.3,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-untersuchung-pupillenform,0.818
MII_PR_ICU_Untersuchung_Pupillengroesse,doppel-governance,https://gematik.de/fhir/isik/StructureDefinition/mii-pr-icu-untersuchung-pupillengroesse,2027.0.0-ballot.3,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-untersuchung-pupillengroesse,0.852
MII_PR_ICU_Untersuchung_Pupillenlichtreaktion_Direkt,doppel-governance,https://gematik.de/fhir/isik/StructureDefinition/mii-pr-icu-untersuchung-pupillenlichtreaktion-direkt,2027.0.0-ballot.3,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-untersuchung-pupillenlichtreaktion-direkt,0.818
MII_PR_ICU_Untersuchung_Pupillenlichtreaktion_Indirekt,doppel-governance,https://gematik.de/fhir/isik/StructureDefinition/mii-pr-icu-untersuchung-pupillenlichtreaktion-indirekt,2027.0.0-ballot.3,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-untersuchung-pupillenlichtreaktion-indirekt,0.818
MII_PR_ICU_Untersuchung_Pupillensymmetrie,doppel-governance,https://gematik.de/fhir/isik/StructureDefinition/mii-pr-icu-untersuchung-pupillensymmetrie,2027.0.0-ballot.3,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-untersuchung-pupillensymmetrie,0.846
MII_PR_Prozedur_Procedure,nur-isik,https://gematik.de/fhir/isik/StructureDefinition/mii-pr-prozedur-procedure,,,
