modul,profil,codeableconcept,ms_cc,ms_text,ms_coding,ms_slice,ms_system,ms_code,ms_display,ms_version,pattern_display,pattern_version
base,MII_PR_Diagnose_Condition,Condition.abatement[x]:abatementAge.extension:Lebensphase-Ende.value[x],True,False,True,False,True,True,False,False,False,False
base,MII_PR_Diagnose_Condition,Condition.onset[x]:onsetAge.extension:Lebensphase-Beginn.value[x],True,False,True,False,True,True,False,False,False,False
base,MII_PR_Diagnose_Condition,Condition.clinicalStatus,True,False,True,False,True,True,False,False,False,False
base,MII_PR_Diagnose_Condition,Condition.bodySite,True,False,True,True,True,True,False,True,False,False
base,MII_PR_Diagnose_Condition,Condition.verificationStatus,True,False,True,False,True,True,False,False,False,False
base,MII_PR_Diagnose_Condition,Condition.code,True,False,True,True,True,True,False,True,False,False
base,MII_PR_Person_Vitalstatus,Observation.category:survey,True,False,True,False,True,True,False,False,False,False
base,MII_PR_Person_Vitalstatus,Observation.code,True,False,True,True,True,True,False,False,False,False
base,MII_PR_Person_Vitalstatus,Observation.value[x],True,False,True,True,True,True,False,False,False,False
base,MII_PR_Person_AllergieUnvertraeglichkeit,AllergyIntolerance.code,True,False,True,False,True,True,False,False,False,False
base,MII_PR_Person_AllergieUnvertraeglichkeit,AllergyIntolerance.reaction.exposureRoute,True,False,True,False,True,True,False,False,False,False
base,MII_PR_Person_AllergieUnvertraeglichkeit,AllergyIntolerance.clinicalStatus,True,False,True,False,True,True,False,False,False,False
base,MII_PR_Person_AllergieUnvertraeglichkeit,AllergyIntolerance.verificationStatus,True,False,True,False,True,True,False,False,False,False
base,MII_PR_Person_AllergieUnvertraeglichkeit,AllergyIntolerance.reaction.manifestation,True,False,True,False,True,True,False,False,False,False
base,MII_PR_Person_PatientPseudonymisiert,Patient.identifier:PseudonymisierterIdentifier.type,True,False,False,True,False,False,False,False,False,False
base,MII_PR_Prozedur_Procedure,Procedure.category,True,False,True,True,True,True,False,False,False,False
base,MII_PR_Prozedur_Procedure,Procedure.bodySite,True,False,True,True,True,True,False,True,False,False
base,MII_PR_Prozedur_Procedure,Procedure.code,True,False,True,True,True,True,False,True,False,False
base,MII_PR_Fall_KontaktGesundheitseinrichtung,Encounter.location:Zimmer.physicalType,True,False,True,False,True,True,False,False,False,False
base,MII_PR_Fall_KontaktGesundheitseinrichtung,Encounter.type:KontaktArt,True,False,False,False,True,True,False,False,False,False
base,MII_PR_Fall_KontaktGesundheitseinrichtung,Encounter.hospitalization.admitSource,True,False,True,False,True,True,False,False,False,False
base,MII_PR_Fall_KontaktGesundheitseinrichtung,Encounter.location:Station.physicalType,True,False,True,False,True,True,False,False,False,False
base,MII_PR_Fall_KontaktGesundheitseinrichtung,Encounter.diagnosis.use,True,False,True,True,True,True,False,False,False,False
base,MII_PR_Fall_KontaktGesundheitseinrichtung,Encounter.type:Kontaktebene,True,False,False,False,True,True,False,False,False,False
base,MII_PR_Fall_KontaktGesundheitseinrichtung,Encounter.identifier:Aufnahmenummer.type,True,False,True,True,True,True,False,False,False,False
base,MII_PR_Fall_KontaktGesundheitseinrichtung,Encounter.hospitalization.dischargeDisposition,True,False,False,False,False,False,False,False,False,False
base,MII_PR_Fall_KontaktGesundheitseinrichtung,Encounter.serviceType,True,False,True,True,True,True,False,False,False,False
base,MII_PR_Fall_KontaktGesundheitseinrichtung,Encounter.location:Bett.physicalType,True,False,True,False,True,True,False,False,False,False
base,MII_PR_Person_Patient,Patient.extension:recordedSexOrGender.extension:type.value[x],True,False,True,False,True,True,False,False,False,False
base,MII_PR_Person_Patient,Patient.identifier:versichertenId.assigner.identifier.type,True,False,True,False,True,True,False,False,False,False
base,MII_PR_Person_Patient,Patient.extension:patient-nationality.extension:code.value[x],True,False,True,False,True,True,False,False,False,False
base,MII_PR_Person_Patient,Patient.identifier:pid.assigner.identifier.type,True,False,True,False,True,True,False,False,False,False
base,MII_PR_Person_Patient,Patient.extension:recordedSexOrGender.extension:value.value[x],True,False,True,False,True,True,False,False,False,False
base,MII_PR_Person_Patient,Patient.identifier:pid.type,True,False,True,False,True,True,False,False,False,False
base,MII_PR_Person_Patient,Patient.extension:patient-citizenship.extension:code.value[x],True,False,True,False,True,True,False,False,False,False
base,MII_PR_Person_Patient,Patient.identifier:versichertenId.type,True,False,True,False,True,True,False,False,False,False
base,MII_PR_Person_Todesursache,Condition.verificationStatus,True,False,True,False,True,True,False,False,False,False
base,MII_PR_Person_Todesursache,Condition.clinicalStatus,True,False,True,False,True,True,False,False,False,False
base,MII_PR_Person_Todesursache,Condition.code,True,True,True,True,True,True,False,True,False,False
base,MII_PR_Person_Todesursache,Condition.category:todesDiagnose,True,False,True,True,True,True,False,False,False,False
medikation,MII_PR_Medikation_MedicationStatement,MedicationStatement.category,True,False,False,False,False,False,False,False,False,False
medikation,MII_PR_Medikation_MedicationStatement,MedicationStatement.dosage.site,True,False,True,True,True,True,False,False,False,False
medikation,MII_PR_Medikation_MedicationStatement,MedicationStatement.medication[x]:medicationCodeableConcept,True,True,True,True,True,True,False,False,False,False
medikation,MII_PR_Medikation_MedicationStatement,MedicationStatement.dosage.route,True,False,True,True,True,True,False,False,False,False
medikation,MII_PR_Medikation_Medikationsliste,List.code,True,False,True,True,True,True,False,False,False,False
medikation,MII_PR_Medikation_MedicationRequest,MedicationRequest.dosageInstruction.route,True,False,True,True,True,True,False,False,False,False
medikation,MII_PR_Medikation_MedicationRequest,MedicationRequest.dosageInstruction.site,True,False,True,True,True,True,False,False,False,False
medikation,MII_PR_Medikation_MedicationRequest,MedicationRequest.medication[x]:medicationCodeableConcept,True,True,True,True,True,True,False,False,False,False
medikation,MII_PR_Medikation_Medication,Medication.ingredient.item[x]:itemCodeableConcept,True,True,True,True,True,True,False,False,False,False
medikation,MII_PR_Medikation_Medication,Medication.form,True,False,True,True,True,True,False,False,False,False
medikation,MII_PR_Medikation_Medication,Medication.code,True,True,True,True,True,True,False,True,False,False
medikation,MII_PR_Medikation_MedicationAdministration,MedicationAdministration.dosage.site,True,False,True,True,True,True,False,False,False,False
medikation,MII_PR_Medikation_MedicationAdministration,MedicationAdministration.dosage.route,True,False,True,True,True,True,False,False,False,False
medikation,MII_PR_Medikation_MedicationAdministration,MedicationAdministration.medication[x]:medicationCodeableConcept,True,True,True,True,True,True,False,False,False,False
laborbefund,MII_PR_Labor_Laborbefund,DiagnosticReport.code,True,False,True,True,True,True,True,False,False,False
laborbefund,MII_PR_Labor_Laborbefund,DiagnosticReport.identifier:befund.type,True,False,True,True,True,True,False,False,False,False
laborbefund,MII_PR_Labor_Laboranforderung,ServiceRequest.code,True,False,True,False,True,True,True,True,False,False
laborbefund,MII_PR_Labor_Laboranforderung,ServiceRequest.identifier:anforderung.type,True,False,True,True,True,True,False,False,False,False
laborbefund,MII_PR_Labor_Laboranforderung,ServiceRequest.category,True,False,True,True,True,True,True,False,False,False
laborbefund,MII_PR_Labor_Laboruntersuchung,Observation.method,True,False,True,False,True,True,True,False,False,False
laborbefund,MII_PR_Labor_Laboruntersuchung,Observation.code,True,False,True,True,True,True,True,True,False,False
laborbefund,MII_PR_Labor_Laboruntersuchung,Observation.value[x]:valueCodeableConcept,True,False,True,False,True,True,False,True,False,False
laborbefund,MII_PR_Labor_Laboruntersuchung,Observation.identifier:analyseBefundCode.type,True,False,True,True,True,True,False,False,False,False
laborbefund,MII_PR_Labor_Laboruntersuchung,Observation.category,True,False,True,False,True,True,True,False,False,False
biobank,MII_PR_Biobank_Specimen_Bioprobe,Specimen.collection.fastingStatus[x]:fastingStatusCodeableConcept,False,False,False,False,True,True,False,False,False,False
biobank,MII_PR_Biobank_Specimen_Bioprobe,Specimen.processing.procedure,True,False,False,True,True,True,False,False,False,False
biobank,MII_PR_Biobank_Specimen_Bioprobe,Specimen.container.type,True,False,True,False,True,True,False,False,False,False
biobank,MII_PR_Biobank_Specimen_Bioprobe,Specimen.collection.bodySite,True,False,False,True,True,True,False,False,False,False
biobank,MII_PR_Biobank_Specimen_Bioprobe,Specimen.type,True,False,False,True,False,False,False,False,False,False
biobank,MII_PR_Biobank_Specimen_Bioprobe,Specimen.collection.method,True,False,True,False,True,True,False,False,False,False
biobank,MII_PR_Biobank_Specimen_Bioprobe_Core,Specimen.collection.fastingStatus[x]:fastingStatusCodeableConcept,False,False,False,False,True,True,False,False,False,False
biobank,MII_PR_Biobank_Specimen_Bioprobe_Core,Specimen.processing.procedure,True,False,False,True,True,True,False,False,False,False
biobank,MII_PR_Biobank_Specimen_Bioprobe_Core,Specimen.container.type,True,False,False,False,True,True,False,False,False,False
biobank,MII_PR_Biobank_Specimen_Bioprobe_Core,Specimen.collection.bodySite,True,False,False,True,True,True,False,False,False,False
biobank,MII_PR_Biobank_Specimen_Bioprobe_Core,Specimen.type,True,False,False,True,True,True,False,False,False,False
biobank,MII_PR_Biobank_Observation_DNA_Konzentration,Observation.code,True,False,True,False,True,True,False,False,False,False
biobank,MII_PR_Biobank_Specimen_Zellinie_Organoid,Specimen.collection.fastingStatus[x]:fastingStatusCodeableConcept,False,False,False,False,True,True,False,False,False,False
biobank,MII_PR_Biobank_Specimen_Zellinie_Organoid,Specimen.processing.procedure,True,False,False,True,True,True,False,False,False,False
