module,old_version,new_version,resource_type,old_name,new_name,score,jaccard,name_similarity,old_url,new_url,second_best,confirmed
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_ECT_Ionisiertes_Kalzium_Nierenersatzverfahren,MII_PR_ICU_Bilanz_Ausfuhr_Blutverlust,0.349,0.333,0.387,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-ect-ionisiertes-kalzium-nierenersatzverfahren,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-blutverlust,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-op-drainage (0.34),
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_ECT_Parameter_Von_Extrakorporalen_Verfahren,,,,,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-ect-parameter-von-extrakorporalen-verfahren,,,
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_ECT_Substituatfluss,MII_PR_ICU_Bilanz_Ausfuhr_Blutverlust,0.416,0.364,0.537,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-ect-substituatfluss,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-blutverlust,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-tagesbilanz-fluessigkeit (0.40),
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_ECT_Substituatvolumen,MII_PR_ICU_Bilanz_Ausfuhr_OP_Drainage,0.402,0.364,0.493,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-ect-substituatvolumen,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-op-drainage,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-tagesbilanz-fluessigkeit (0.39),
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_ECT_Venoeser_Druck,MII_PR_ICU_Bilanz_Ausfuhr_OP_Drainage,0.466,0.444,0.515,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-ect-venoeser-druck,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-op-drainage,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-blutverlust (0.46),
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_Herzfrequenz,MII_PR_ICU_Bilanz_Ausfuhr_Blutverlust,0.607,0.667,0.467,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-herzfrequenz,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-blutverlust,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-tagesbilanz-fluessigkeit (0.61),
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_Koerpergewicht,,,,,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-koerpergewicht,,,
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_Koerpergroesse,,,,,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-koerpergroesse,,,
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_Kopfumfang,,,,,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-kopfumfang,,,
icu,2026.0.1,2026.0.2,Observation,MII_PR_ICU_VENT_Atemwegsdruck_Bei_Mitl_Exspiratorischem_Gasfluss,MII_PR_ICU_Bilanz_Ausfuhr_Blutverlust,0.322,0.273,0.436,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-atemwegsdruck-bei-mitl-exspiratorischem-gasfluss,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-blutverlust,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-bilanz-ausfuhr-haemofiltration-einzelmesswerte (0.32),
